Crash Time of Day,Collision Type,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Driver Distracted By,Vehicle First Impact Location,Vehicle Second Impact Location,Vehicle Body Type,Vehicle Movement,Speed Limit,Parked Vehicle
0,0,0,0,0,0,0,0,0,0,0,0,25,0
1,0,0,1,1,0,0,0,0,0,0,0,40,0
1,1,0,0,2,0,0,0,1,1,1,1,35,0
2,1,0,2,2,0,0,0,2,2,2,1,35,0
3,0,0,2,2,1,1,1,2,2,0,2,35,0
4,0,0,0,1,0,0,0,0,0,0,0,40,0
5,2,0,0,0,0,0,0,1,1,0,1,30,0
3,0,0,2,2,0,0,0,0,0,0,2,35,0
5,3,0,0,1,0,0,0,2,2,0,2,35,0
3,4,0,2,1,0,0,0,3,3,0,1,35,0
1,3,0,0,1,0,0,0,2,2,0,1,40,0
0,0,0,0,2,0,0,0,0,0,0,3,55,0
1,0,0,1,1,0,0,0,0,0,0,3,50,0
5,3,0,0,2,0,0,0,4,4,2,1,30,0
3,5,0,3,0,0,0,0,2,2,0,1,30,0
1,1,0,2,1,0,1,0,2,2,0,1,45,0
4,3,0,0,1,0,0,0,2,2,0,4,40,0
5,3,0,0,2,0,0,0,2,2,0,3,25,0
0,0,0,0,1,0,0,0,0,0,3,0,0,0
5,2,0,0,2,0,1,0,5,5,0,1,35,0
1,3,0,0,1,0,0,0,2,2,0,5,35,0
0,3,0,0,2,0,0,0,2,2,0,1,30,0
4,0,0,0,2,0,0,0,0,0,0,3,30,0
4,0,0,0,1,0,1,1,2,2,0,3,45,0
5,0,0,0,2,0,0,0,0,0,4,3,35,0
5,3,1,0,2,0,1,1,2,3,0,5,35,0
2,1,0,4,2,1,1,1,2,2,0,1,25,0
3,0,0,2,1,0,1,1,2,2,0,3,25,0
5,6,0,0,2,0,1,1,6,6,0,6,35,0
4,0,0,0,1,0,1,1,2,2,0,3,35,0
5,1,1,0,2,0,1,0,5,5,0,7,40,0
3,5,0,3,0,0,1,0,4,4,0,5,30,0
0,0,1,0,2,0,0,0,0,0,0,3,40,0
5,3,0,0,2,0,1,1,3,3,0,2,30,0
0,7,0,0,1,0,0,0,2,2,0,1,35,0
0,0,0,0,1,0,0,0,0,0,0,0,45,0
0,8,0,0,2,0,0,0,7,7,0,2,35,0
0,0,0,0,2,0,1,1,2,2,0,1,40,0
3,1,0,4,2,0,1,1,5,7,1,1,25,0
5,2,0,0,1,0,1,1,3,3,4,1,35,0
0,0,0,0,1,0,0,0,0,0,5,3,35,0
0,9,0,0,2,0,1,0,4,4,4,1,35,0
0,7,0,0,1,0,1,1,3,3,0,6,35,0
4,3,0,0,3,0,1,0,7,7,0,5,40,0
3,4,0,2,1,0,0,0,8,8,0,1,35,0
4,3,0,0,3,0,0,0,2,2,0,1,40,0
4,9,0,0,2,0,0,0,3,3,0,1,35,0
0,0,0,0,1,0,1,1,2,2,0,1,45,0
0,8,0,0,2,0,1,1,1,1,0,2,35,0
0,3,0,0,2,0,1,1,1,1,0,5,30,0
0,0,0,0,2,0,0,0,0,0,0,0,40,0
0,0,0,0,2,0,0,0,0,0,0,3,40,0
2,2,1,2,2,0,1,1,2,2,0,1,55,0
3,0,0,2,2,0,0,0,0,0,4,8,15,1
3,1,0,4,2,0,1,1,1,2,0,1,45,0
4,0,0,0,1,0,0,0,0,0,0,0,45,0
5,2,0,0,2,0,0,1,3,3,0,1,35,0
0,3,0,0,2,0,0,0,1,1,0,1,30,0
0,3,0,0,2,0,0,0,9,3,0,1,30,0
4,0,0,0,4,0,0,0,0,0,0,0,40,0
3,1,0,2,1,0,1,0,2,3,6,5,45,0
5,2,0,0,2,0,0,0,3,3,0,1,30,0
5,6,0,0,2,0,0,0,3,3,0,1,35,0
3,2,0,2,2,0,0,0,10,8,0,1,35,0
3,4,1,0,1,0,0,0,2,2,0,1,35,0
0,10,0,0,2,0,0,0,2,2,6,1,35,0
5,0,0,0,1,0,1,0,2,2,0,3,35,0
0,0,0,0,2,0,0,0,0,0,0,3,30,0
3,3,1,2,1,0,0,0,2,2,0,2,35,0
5,0,0,0,2,0,0,0,0,0,0,1,30,0
3,4,1,0,1,0,1,0,7,2,0,5,35,0
5,0,0,0,2,0,0,0,0,0,5,0,35,0
4,3,0,0,2,0,1,1,2,2,0,2,25,0
0,4,0,0,1,0,0,0,1,1,0,1,35,0
5,3,1,0,2,0,0,0,2,2,0,1,35,0
5,2,0,0,2,0,0,0,1,1,0,1,40,0
4,1,0,0,2,0,1,1,8,8,7,9,35,0
4,0,0,0,1,0,0,0,0,0,4,0,35,0
4,0,0,0,2,0,0,0,0,0,0,0,55,0
0,0,0,5,1,0,0,0,0,0,0,0,15,0
4,0,0,0,2,0,0,0,0,0,0,0,55,0
3,4,0,1,1,0,0,0,1,1,0,1,30,0
5,1,0,0,2,0,1,1,2,2,0,5,35,0
5,0,0,0,1,0,0,0,0,0,0,0,35,0
0,0,0,4,1,0,1,1,2,2,0,3,45,0
4,3,0,0,2,0,0,0,5,5,0,1,25,0
5,0,0,0,2,0,0,0,0,0,0,3,40,0
5,6,0,0,2,0,0,0,3,3,0,4,40,0
0,2,0,0,5,0,0,0,3,3,0,5,25,0
3,0,0,2,2,1,1,1,3,3,0,2,25,0
0,3,0,0,2,0,1,0,2,2,4,2,30,0
0,0,1,0,1,0,1,0,2,2,0,3,45,0
0,0,1,0,2,0,1,0,2,2,0,1,40,0
5,1,0,0,2,0,1,0,2,2,0,4,40,0
